Comment,Designator,Footprint,LCSC
1k,"R5,R7",R_0402_1005Metric,C11702
TLV73333PDBV,U5,SOT-23-5,C134139
27,"R3,R4",R_0402_1005Metric,C138021
100n,"C1,C10,C11,C14,C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C1525
30p,"C15,C16",C_0402_1005Metric,C1570
RP2040,U2,RP2040-QFN-56,C2040
5.1k,"R1,R2",R_0402_1005Metric,C23186
10k,R6,R_0402_1005Metric,C25744
Hall_Sensor,"K1,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K2,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K3,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K4,K40,K41,K42,K5,K6,K7,K8,K9",SOT-23,C266230
SW_Push,"SW1,SW2",TS-1187A-B-A-B,C271750
USB_C_Receptacle,J5,Shou Han Type-C 24P QCHT,C456013
1u,"C12,C13,C2,C8",C_0402_1005Metric,C52923
B5819W,D43,D_SOD-123,C8598
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U6,SOIC-8_5.23x5.23mm_P1.27mm,C97521
CD74HC4067SM,"AM1,AM2,AM3",SSOP-24_5.3x8.2mm_P0.65mm,C98457
